DATE,HNFSEPUSSA,HOUST1F,HSN1F,INTDSRUSM193N,LFACTTTTUSM657S,MSACSR,NA000334Q,NASDAQCOM,PERMIT,PERMIT1,QUSR628BIS,RSAHORUSQ156S,TTLCONS,UNRATE,Median Home Price (NSA),CPI-Adjusted Price,CSUSHPISA
1/1/2000,311,1268,873,5,1.490972128,4.3,2448892,4013.494,1727,1277,95.3071,67.1,784940,4,131559.13,239289.53,100.551
2/1/2000,299,1255,856,5.24,0.132848798,4.3,2448892,4410.871,1692,1241,95.3071,67.1,793737,4.1,131318.85,237445.83,101.339
3/1/2000,313,1313,900,5.34,-0.015443365,4.3,2448892,4802.988261,1651,1253,95.3071,67.1,809459,4,132827.82,238210.25,102.127
4/1/2000,305,1275,841,5.5,0.22255922,4.4,2569266,3863.637368,1597,1192,96.7197,67.3,804766,3.8,134096.51,240345.1,102.922
5/1/2000,305,1230,857,5.71,-0.254288937,4.4,2569266,3528.416818,1543,1182,96.7197,67.3,805005,4,135144.14,241940.32,103.678
6/1/2000,306,1202,793,6,0.142568194,4.8,2569266,3865.476818,1572,1156,96.7197,67.3,795411,4,136537.77,243159.2,104.424
7/1/2000,303,1142,887,6,-0.219508945,4.1,2577927,4017.685,1542,1152,98.0394,67.5,783795,4,137220.17,243808.8,105.054
8/1/2000,302,1231,848,6,0.165872447,4.4,2577927,3909.596957,1552,1173,98.0394,67.5,805341,4.1,137623.85,244526.04,105.768
9/1/2000,300,1195,912,6,0.002806742,4,2577927,3875.822,1570,1189,98.0394,67.5,814330,3.9,138200.52,244278.37,106.538
10/1/2000,301,1235,933,6,0.072973238,4,2655636,3333.824545,1577,1224,99.7249,67.5,816100,3.9,138652.25,244654.29,107.382
11/1/2000,305,1212,880,6,0.238392394,4.2,2655636,3055.415238,1614,1208,99.7249,67.5,820054,3.9,139084.76,245276.49,108.302
12/1/2000,298,1226,983,6,0.200053161,3.6,2655636,2657.8075,1543,1180,99.7249,67.5,811516,3.9,139507.66,246163.67,109.14
1/1/2001,296,1275,936,5.52,0.385345694,3.8,2562488,2656.864286,1699,1251,101.1505,67.6,814479,4.2,140103.56,245662.11,109.846
2/1/2001,296,1280,963,5,-0.068845619,3.7,2562488,2449.569474,1656,1242,101.1505,67.6,813647,4.2,141016.63,246278.57,110.5
3/1/2001,292,1218,939,4.81,0.155183332,3.8,2562488,1986.663182,1659,1232,101.1505,67.6,828057,4.3,142275.7,247913.39,111.109
4/1/2001,294,1311,909,4.28,-0.246657958,3.9,2656407,1933.928,1666,1259,101.8607,67.8,842392,4.4,143515.56,249084.28,111.652
5/1/2001,295,1285,885,3.73,-0.174828828,4,2656407,2181.128636,1665,1240,101.8607,67.8,848146,4.3,144697.75,250005.47,112.164
6/1/2001,301,1295,882,3.47,0.027212213,4.2,2656407,2112.052857,1626,1252,101.8607,67.8,855730,4.5,145899.15,251656.36,112.796
7/1/2001,305,1298,880,3.25,0.207175094,4.2,2651366,2033.978571,1598,1235,103.6665,67.9,850471,4.6,146725.72,253794.99,113.491
8/1/2001,308,1286,866,3.16,-0.257563312,4.4,2651366,1929.712609,1615,1241,103.6665,67.9,847465,4.9,147273.57,254742.62,114.167
9/1/2001,310,1243,853,2.77,0.492029815,4.4,2651366,1573.31,1565,1192,103.6665,67.9,837412,5,147782.96,254476.79,114.812
10/1/2001,308,1240,871,2.02,0.067366257,4.3,2711715,1656.428261,1566,1185,105.6761,67.9,845941,5.3,148350.03,256315.79,115.31
11/1/2001,308,1244,924,1.58,0.106880613,4.1,2711715,1870.062381,1651,1229,105.6761,67.9,843911,5.5,148321.2,256699.35,115.857
12/1/2001,308,1285,979,1.33,0.045063783,3.8,2711715,1977.7105,1680,1251,105.6761,67.9,849689,5.7,148830.59,258601.36,116.455
1/1/2002,310,1318,880,1.25,-0.29243616,4.2,2631119,1976.768571,1665,1285,107.2219,67.9,858654,5.7,149291.93,258817.08,117.144
2/1/2002,313,1501,948,1.25,0.535157037,4,2631119,1799.718947,1787,1401,107.2219,67.9,862338,5.7,150147.34,259275.24,117.845
3/1/2002,316,1292,923,1.25,-0.118905242,4.1,2631119,1863.0455,1691,1289,107.2219,67.9,844551,5.7,151637.09,260383.27,118.687
4/1/2002,324,1277,936,1.25,0.168880337,4.3,2721842,1758.802273,1669,1285,108.8292,67.8,858240,5.9,152905.77,261101.48,119.611
5/1/2002,327,1402,978,1.25,0.147175678,4,2721842,1660.310909,1716,1289,108.8292,67.8,850935,5.8,154558.91,263924.38,120.724
6/1/2002,328,1368,957,1.25,-0.089693524,4.2,2721842,1505.4875,1758,1314,108.8292,67.8,846777,5.8,156067.88,266352.96,121.813
7/1/2002,333,1323,956,1.25,-0.003452848,4.2,2751463,1346.085455,1738,1307,111.1348,67.9,847129,5.8,157105.9,267826.74,122.888
8/1/2002,334,1247,1014,1.25,0.142262246,4,2751463,1327.360455,1695,1317,111.1348,67.9,839008,5.7,157970.92,268407.19,123.83
9/1/2002,333,1446,1044,1.25,0.374459516,3.9,2751463,1251.069,1803,1366,111.1348,67.9,832134,5.7,158653.32,269119.86,124.78
10/1/2002,335,1352,1006,1.25,-0.163515445,4,2824686,1241.911739,1799,1382,113.0461,68.2,839690,5.7,159354.94,269862.71,125.735
11/1/2002,338,1394,1024,0.83,-0.187869028,4,2824686,1409.1515,1771,1382,113.0461,68.2,844697,5.9,159729.78,270497.49,126.67
12/1/2002,339,1439,1048,0.75,0.017236506,4,2824686,1387.151905,1896,1409,113.0461,68.2,855921,6,160383.35,272204.86,127.624
1/1/2003,341,1537,999,2.25,0.600416362,4,2743734,1389.559524,1808,1416,114.1698,68.1,863855,5.8,160883.13,271850.87,128.461
2/1/2003,341,1301,936,2.25,0.111692031,4.5,2743734,1313.261579,1854,1357,114.1698,68.1,859225,5.9,161921.15,271512.85,129.355
3/1/2003,338,1399,999,2.25,-0.05338809,4.1,2743734,1348.50381,1757,1359,114.1698,68.1,851132,5.9,163045.67,271765.8,130.148
4/1/2003,340,1374,1012,2.25,0.309542398,4.1,2831413,1409.830952,1803,1391,116.2112,68.2,859459,6,164583.47,274926.03,130.884
5/1/2003,343,1391,1078,2.25,0.017750591,3.9,2831413,1524.182857,1835,1389,116.2112,68.2,866814,6.1,166198.17,278077.16,131.735
6/1/2003,343,1513,1193,2,0.379522184,3.5,2831413,1631.750952,1875,1461,116.2112,68.2,880865,6.3,167562.97,280055.46,132.649
7/1/2003,342,1535,1168,2,-0.388287455,3.6,2886905,1716.851364,1885,1478,118.9971,68.3,891264,6.2,168841.27,281885.04,133.777
8/1/2003,346,1484,1206,2,-0.02730655,3.5,2886905,1724.822857,1966,1521,118.9971,68.3,901839,6.1,169956.18,282670.46,134.969
9/1/2003,350,1555,1131,2,0.058042268,3.8,2886905,1856.224762,1961,1533,118.9971,68.3,911589,6.1,170994.19,283475.5,136.294
10/1/2003,361,1631,1144,2,0.126936464,3.8,2994399,1907.891304,2012,1566,122.8818,68.5,925732,6,171522.81,284659.26,137.531
11/1/2003,366,1694,1093,2,0.193571253,4.1,2994399,1939.253158,1918,1513,122.8818,68.5,925985,5.8,172262.88,286662.24,138.794
12/1/2003,370,1647,1129,2,-0.184353741,4,2994399,1956.984545,1987,1549,122.8818,68.5,948491,5.7,173070.23,288318.29,140.179
1/1/2004,374,1560,1165,2,0.077012724,3.8,2924602,2098.004,1952,1539,125.9256,68.7,938525,5.7,173589.24,287777.59,141.646
2/1/2004,372,1481,1159,2,-0.090573542,3.7,2924602,2048.36,1966,1564,125.9256,68.7,937813,5.6,175050.15,288640.96,143.192
3/1/2004,381,1632,1276,2,0.160181039,3.6,2924602,1979.478696,2066,1648,125.9256,68.7,961159,5.8,176991.63,289973.49,145.059
4/1/2004,383,1646,1186,2,-0.063969948,4,3032386,2021.322857,2070,1617,129.0662,69.4,967602,5.6,179096.5,292485.54,146.593
5/1/2004,383,1652,1241,2,0.146407899,3.8,3032386,1930.089,2150,1675,129.0662,69.4,974381,5.6,181653.1,294935.09,148.186
6/1/2004,383,1526,1180,2.25,0.268588719,3.9,3032386,2000.979524,2020,1615,129.0662,69.4,983087,5.6,184123.2,298000.05,149.85
7/1/2004,400,1675,1088,2.25,0.157330802,4.5,3069688,1912.424286,2112,1620,132.9919,68.9,1006184,5.5,185632.17,300918.18,151.338
8/1/2004,405,1691,1175,2.5,-0.086666847,4.3,3069688,1821.538182,2056,1609,132.9919,68.9,1013616,5.4,186862.41,302752.6,152.633
9/1/2004,410,1555,1214,2.75,-0.100973137,4.1,3069688,1884.730952,2041,1586,132.9919,68.9,1012080,5.4,187910.04,303808.68,154.179
10/1/2004,413,1660,1305,2.75,0.256418953,3.9,3190521,1938.252381,2097,1593,137.1913,69.1,1015719,5.5,188736.61,303546.6,155.75
11/1/2004,418,1458,1179,3,0.24967353,4.3,3190521,2062.87,2079,1572,137.1913,69.1,1022994,5.4,189784.24,305071.71,157.527
12/1/2004,422,1714,1242,3.25,-0.0695185,4.1,3190521,2149.531818,2082,1613,137.1913,69.1,1037480,5.4,190687.7,307651.51,159.33
1/1/2005,441,1739,1203,3.25,-0.020262193,4.4,3111329,2071.8715,2139,1654,141.9495,69.2,1046082,5.3,191331.65,308042.95,161.288
2/1/2005,446,1792,1319,3.5,0.226307007,4.3,3111329,2065.735789,2114,1630,141.9495,69.2,1066848,5.4,193013.62,308968.72,163.344
3/1/2005,445,1583,1328,3.75,0.018198485,4.1,3111329,2030.433636,2062,1580,141.9495,69.2,1071745,5.2,195685.56,310815.08,165.812
4/1/2005,445,1658,1260,3.75,0.360533995,4.3,3232051,1957.492857,2150,1654,145.6174,68.7,1081012,5.2,198242.16,312772.34,167.501
5/1/2005,450,1714,1286,4,0.224943932,4.2,3232051,2005.217143,2085,1644,145.6174,68.7,1093341,5.1,200885.26,317268.51,169.351
6/1/2005,455,1719,1274,4.25,-0.01540925,4.3,3232051,2074.017273,2178,1683,145.6174,68.7,1105896,5,203297.69,320913.5,171.19
7/1/2005,464,1724,1389,4.25,0.129993701,4.2,3306451,2145.139,2203,1722,148.8674,68.7,1119101,5,205306.45,322591.7,172.86
8/1/2005,476,1728,1255,4.5,0.232212645,4.5,3306451,2157.848261,2219,1716,148.8674,68.7,1129163,4.9,206680.86,323097.75,174.442
9/1/2005,487,1789,1244,4.75,0.116838809,4.7,3306451,2144.611905,2263,1798,148.8674,68.7,1148438,5,207978.38,321201.06,176.438
10/1/2005,490,1740,1336,4.75,0.031342945,4.5,3389367,2087.092857,2170,1742,152.2196,68.9,1160831,5,208516.61,321385.65,178.028
11/1/2005,502,1808,1214,5,0.042666382,5,3389367,2202.835714,2218,1730,152.2196,68.9,1172090,5,209035.62,324794.38,179.68
12/1/2005,511,1628,1239,5.25,-0.023323227,4.9,3389367,2246.087143,2120,1661,152.2196,68.9,1184677,4.9,209410.46,326699.47,180.91
1/1/2006,523,1823,1174,5.5,0.122642138,5.3,3333266,2289.9915,2212,1689,154.2137,68.6,1195642,4.7,209910.25,325002.04,182.321
2/1/2006,539,1804,1061,5.5,0.284261121,6.1,3333266,2273.666316,2141,1643,154.2137,68.6,1205639,4.8,210775.26,325684.37,183.287
3/1/2006,552,1601,1116,5.75,0.114178743,5.9,3333266,2300.255652,2118,1551,154.2137,68.6,1205169,4.7,212447.62,326461.18,184.364
4/1/2006,565,1511,1123,5.75,0.045088951,6.3,3460990,2338.677368,1998,1496,150.5794,68.8,1193296,4.7,213783.59,325742.53,184.329
5/1/2006,565,1570,1086,6,0.124601507,6.2,3460990,2245.281818,1905,1450,150.5794,68.8,1180581,4.6,215494.4,326727.82,184.156
6/1/2006,566,1451,1074,6.25,0.188655515,6.3,3460990,2137.413636,1867,1393,150.5794,68.8,1172128,4.6,216253.69,327232.65,183.507
7/1/2006,572,1424,965,6.25,0.015196163,7.3,3463694,2086.2075,1763,1307,148.5946,68.9,1157926,4.7,216013.41,325905.32,183.068
8/1/2006,566,1364,1035,6.25,0.223944192,6.7,3463694,2117.77087,1722,1282,148.5946,68.9,1145907,4.7,216455.52,325931.69,182.594
9/1/2006,559,1384,1016,6.25,-0.035592818,6.7,3463694,2221.939,1655,1218,148.5946,68.9,1135753,4.5,215696.23,326389.11,182.798
10/1/2006,554,1212,941,6.25,0.249897799,7.3,3557633,2330.174545,1570,1175,149.8723,68.8,1122914,4.4,215282.95,327539.46,183.198
11/1/2006,543,1290,1003,6.25,0.240066824,6.6,3557633,2408.7,1535,1163,149.8723,68.8,1121749,4.5,215004.22,327602.41,183.609
12/1/2006,536,1249,998,6.25,0.21390234,6.5,3557633,2431.908,1638,1198,149.8723,68.8,1135406,4.4,214062.32,325682.35,184.139
1/1/2007,538,1130,891,6.25,0.269753555,7.2,3482006,2453.187,1626,1174,146.9114,68.5,1137917,4.6,213918.15,324472.54,184.517
2/1/2007,544,1189,828,6.25,-0.105129812,7.9,3482006,2479.864211,1598,1136,146.9114,68.5,1139032,4.5,214590.94,323760.79,184.598
3/1/2007,545,1202,833,6.25,0.044449383,7.9,3482006,2401.490909,1596,1147,146.9114,68.5,1146624,4.4,216263.3,323339.71,184.15
4/1/2007,548,1197,887,6.25,-0.402480219,7.4,3613882,2499.568,1470,1058,139.8448,68.3,1150590,4.5,217387.82,322923.24,183.01
5/1/2007,545,1130,842,6.25,0.15416407,7.8,3613882,2562.140909,1493,1042,139.8448,68.3,1161581,4.4,217647.32,321345.07,181.6
6/1/2007,542,1131,793,6.25,0.243007795,8.2,3613882,2595.39619,1407,995,139.8448,68.3,1163511,4.6,217599.27,320652.71,180.254
7/1/2007,537,1042,778,6.25,0.008494456,8.3,3637993,2655.07619,1361,978,135.5499,68,1155448,4.7,216397.86,318963.46,179.111
8/1/2007,533,957,699,5.75,-0.199276072,9.2,3637993,2539.498696,1321,916,135.5499,68,1159077,4.6,215244.5,317846.34,178.116
9/1/2007,527,935,686,5.25,0.435354732,9.2,3637993,2634.47,1261,855,135.5499,68,1158580,4.7,213552.92,314481.74,177.558
10/1/2007,514,878,727,5,-0.150572959,8.5,3740350,2780.415652,1192,821,130.27,67.8,1152491,4.7,211198.16,310350.19,176.624
11/1/2007,503,833,641,5,0.425634698,9.4,3740350,2662.802381,1224,795,130.27,67.8,1132908,4.7,208833.78,305063.83,175.147
12/1/2007,497,805,619,4.75,0.053953912,9.6,3740350,2661.5485,1149,742,130.27,67.8,1115141,5,206642.41,302065.32,174.342
1/1/2008,487,773,627,3.5,0.094206006,9.3,3657487,2418.09381,1094,708,123.7454,67.9,1111347,5,204018.53,296754.75,173.132
2/1/2008,477,724,593,3.5,-0.266124897,9.7,3657487,2325.8255,1014,664,123.7454,67.9,1096648,4.9,203307.3,294863.92,171.541
3/1/2008,470,728,535,2.5,0.165958361,10.5,3657487,2254.818,967,642,123.7454,67.9,1103446,5.1,202240.45,290795.94,170.053
4/1/2008,458,682,536,2.25,-0.090313694,10.3,3715835,2368.099545,1008,661,115.5766,68.1,1101252,5,201212.04,287573.15,168.338
5/1/2008,451,679,504,2.25,0.347274158,10.7,3715835,2483.240952,995,633,115.5766,68.1,1101547,5.4,200366.25,283973.04,166.659
6/1/2008,435,647,487,2.25,0.006480755,10.7,3715835,2427.454286,1180,605,115.5766,68.1,1090098,5.6,199904.91,280492.68,165.017
7/1/2008,419,615,477,2.25,0.101093233,10.5,3698182,2278.137273,921,571,109.166,67.7,1086952,5.8,197953.82,276304.17,163.566
8/1/2008,409,607,435,2.25,0.111349203,11.3,3698182,2389.267143,858,543,109.166,67.7,1070075,6.1,195627.89,274151.92,161.987
9/1/2008,395,537,433,2.25,-0.045912792,10.9,3698182,2205.203333,797,529,109.166,67.7,1059579,6.1,193042.46,270903.38,160.308
10/1/2008,381,542,393,1.25,0.197968558,11.6,3698360,1730.319565,736,469,106.558,67.5,1055959,6.5,190947.2,270697.43,158.327
11/1/2008,371,459,389,1.25,-0.153025646,11.4,3698360,1542.695789,626,420,106.558,67.5,1035033,6.8,186795.13,269982.17,156.142
12/1/2008,353,403,377,0.5,0.010346678,11.2,3698360,1525.890455,554,364,106.558,67.5,999139,7.3,185065.1,270277.02,153.619
1/1/2009,341,358,336,0.5,-0.287737222,12.2,3522117,1537.2005,545,337,103.9789,67.4,975099,7.8,185670.61,269986.24,151.507
2/1/2009,326,358,372,0.5,0.212696972,10.5,3522117,1485.976842,558,377,103.9789,67.4,971708,8.3,186353.01,269637.64,150.015
3/1/2009,311,353,339,0.5,-0.262071465,11,3522117,1432.233182,513,361,103.9789,67.4,963793,8.7,184795.98,266736.11,148.66
4/1/2009,300,387,337,0.5,0.243945164,10.7,3598010,1641.147619,521,391,102.8887,67.4,932482,9,184949.76,266293.31,147.949
5/1/2009,291,408,376,0.5,0.154036334,9.3,3598010,1726.0775,556,431,102.8887,67.4,920020,9.4,186314.57,267485.68,147.694
6/1/2009,280,482,393,0.5,-0.020032699,8.5,3598010,1826.988182,601,458,102.8887,67.4,912530,9.5,187121.91,266356.77,148.09
7/1/2009,270,509,411,0.5,-0.13831795,7.9,3623204,1873.837727,595,489,102.4965,67.4,911438,9.5,186429.9,265793.18,148.41
8/1/2009,261,487,418,0.5,-0.126211958,7.5,3623204,1997.155238,616,491,102.4965,67.4,900112,9.6,185805.17,264309.69,148.278
9/1/2009,252,510,386,0.5,-0.311068195,7.8,3623204,2084.747143,609,477,102.4965,67.4,887241,9.8,184728.71,262614.16,148.025
10/1/2009,243,476,396,0.5,-0.02795348,7.4,3734738,2122.849545,583,472,102.8783,67.2,871391,10,184603.76,262184.02,147.85
11/1/2009,237,497,375,0.5,0.061124694,7.6,3734738,2143.5325,623,483,102.8783,67.2,858493,9.9,184430.76,261753.06,148.134
12/1/2009,234,484,352,0.5,-0.498446822,8,3734738,2220.6,664,508,102.8783,67.2,842609,9.9,181355.15,257842.11,147.929
1/1/2010,233,510,345,0.5,0.24361411,8.1,3602418,2267.774737,636,504,101.5417,67.2,822114,9.8,180394.02,255602.11,147.396
2/1/2010,231,526,336,0.75,0.136822079,8.3,3602418,2194.44,650,510,101.5417,67.2,814885,9.8,179961.51,254925.75,145.631
3/1/2010,227,542,381,0.75,0.169167306,7.1,3602418,2362.243913,687,536,101.5417,67.2,821849,9.9,180480.52,254615.44,145.859
4/1/2010,217,566,422,0.75,0.433895839,6.2,3755370,2475.72,637,476,101.3717,66.9,829664,9.9,182200.94,256596.86,146.403
5/1/2010,216,457,280,0.75,-0.343418142,9.3,3755370,2319.239,575,435,101.3717,66.9,823447,9.6,183786.8,258629.77,146.394
6/1/2010,212,445,305,0.75,-0.308259405,8.3,3755370,2235.229545,587,425,101.3717,66.9,821943,9.4,182864.12,257582.82,145.721
7/1/2010,209,426,283,0.75,0.048823039,8.9,3793867,2210.27381,579,411,99.1148,66.7,799694,9.4,181710.77,255904.2,144.991
8/1/2010,206,417,282,0.75,0.257009194,8.8,3793867,2205.281364,580,402,99.1148,66.7,802030,9.5,180961.09,254497.05,143.916
9/1/2010,201,449,317,0.75,-0.072037693,7.6,3793867,2298.34619,563,404,99.1148,66.7,807728,9.5,178404.49,250755.67,143.019
10/1/2010,199,438,291,0.75,-0.220815067,8.2,3897315,2441.295714,558,408,97.9877,66.5,801372,9.4,178116.15,250039.04,142.531
11/1/2010,195,452,287,0.75,0.318937742,8.2,3897315,2530.989524,560,418,97.9877,66.5,804151,9.8,176914.74,248248.08,142.173
12/1/2010,190,429,326,0.75,-0.308191403,7,3897315,2631.560455,632,447,97.9877,66.5,789395,9.3,174137.08,243931.27,142.06
1/1/2011,187,430,307,0.75,-0.251871136,7.3,3764835,2717.2085,576,420,95.107,66.5,759964,9.1,172089.88,239920.75,141.521
2/1/2011,183,391,270,0.75,-0.031971187,8.1,3764835,2783.535789,542,379,95.107,66.5,758376,9,170773.13,236916.67,140.35
3/1/2011,179,429,300,0.75,0.105734463,7.2,3764835,2722.28913,583,399,95.107,66.5,769157,9,169744.73,233215.85,139.981
4/1/2011,173,415,310,0.75,0.108882746,6.7,3893028,2797.072,581,403,93.9942,66,769437,9.1,171618.93,234282.21,140.01
5/1/2011,168,414,305,0.75,-0.041682135,6.6,3893028,2815.075714,618,411,93.9942,66,775251,9,172897.23,234922.13,139.905
6/1/2011,166,435,301,0.75,-0.086656806,6.6,3893028,2687.762727,636,413,93.9942,66,794839,9.1,174377.36,237187.26,139.862
7/1/2011,166,432,296,0.75,-0.037822962,6.7,3927583,2810.5755,621,416,93.986,66.1,792381,9,174723.37,237447.51,139.73
8/1/2011,162,422,299,0.75,0.307917123,6.5,3927583,2504.623043,647,428,93.986,66.1,811953,9,173589.24,235257.5,139.309
9/1/2011,160,418,304,0.75,0.24128512,6.3,3927583,2524.13619,610,425,93.986,66.1,813660,9,173752.63,235121.91,138.668
10/1/2011,158,439,316,0.75,-0.110295787,6,4014288,2594.781905,671,439,94.0373,65.9,808378,8.8,172118.71,233392.3,137.952
11/1/2011,155,465,328,0.75,0.108469028,5.7,4014288,2606.289048,706,449,94.0373,65.9,812050,8.6,172243.66,233758.93,137.152
